userid,user_nicename,Key,value
1,admin,EMAS,10
366,anna_plassmann50716,Anna_Plassmann50716,0
369,bountouvis,bountouvis,0
371,emasdelegate,emasdelegate,0
370,investigator2_itf49992,investigator2_itf49992,0
357,jocelyne_muelli54147,Jocelyne_Muelli54147,0
345,kd_kali28550,kd_kali28550,0
361,ludivine_simon63770,Ludivine_Simon63770,0
347,martin_nagiler89579,Martin_Nagiler89579,0
340,nicolaus_kausch86145,Nicolaus_Kausch86145,0
364,nina_martinez45617,Nina_Martinez45617,0
351,nisha_itf96980,nisha_itf96980,0
353,prof-dimitros-g-_goulis29878,"Prof. Dimitros G._Goulis29878",0
355,prof-irene_lambrinoudaki20063,"Prof. Irene_Lambrinoudaki20063",0
359,prof-john-c_stevenson53427,"Prof. John C_Stevenson53427",0
343,stalboom,stalboom,10
356,stavroula_mouzakioti19205,Stavroula_Mouzakioti19205,0
349,stephane_talboom187929,Stephane_Talboom187929,0
348,stephane_talboom53456,Stephane_Talboom53456,0
368,stephane_talboom70293,Stephane_Talboom70293,0
337,test_itf17619,test_itf17619,0
350,ts_itf67974,ts_itf67974,0
